datetime,demand,total_incl_noncombustion
2020-03-28 10:00:00,-484.90666666666243,71347.5
2020-03-30 10:00:00,-1203.8699999999976,74796.75
2020-03-31 13:00:00,-139.26666666666097,76697.99999999999
2020-04-14 15:00:00,-889.8083333333298,69436.125
2020-04-15 09:00:00,-132.07666666666245,71556.75
2020-04-19 10:00:00,-814.6649999999954,66018.375
2020-04-21 10:00:00,-1068.7066666666628,72103.49999999999
2020-04-22 09:00:00,-1859.8833333333296,71592.75
2020-04-22 10:00:00,-1765.7149999999976,72464.625
2020-04-23 08:00:00,-2637.5949999999975,72361.125
2020-04-23 09:00:00,-5478.119999999996,74695.5
2020-04-23 10:00:00,-5897.638333333331,76161.375
2020-04-23 11:00:00,-2187.1283333333276,77594.62499999999
2020-04-23 12:00:00,-1602.7499999999964,78446.25
2020-04-23 13:00:00,-972.7183333333305,79725.375
2020-04-23 15:00:00,-240.47333333332853,81634.5
2020-04-24 09:00:00,-1170.9733333333293,73656.0
2020-04-24 10:00:00,-638.6616666666627,75331.12499999999
2020-04-26 09:00:00,-255.16166666666328,67483.125
2020-04-26 10:00:00,-1519.2999999999943,69399.00000000001
2020-04-27 10:00:00,-1035.371666666661,76570.87500000001
2020-04-28 09:00:00,-964.3699999999969,75741.75
2020-04-28 10:00:00,-1459.2849999999953,76912.87500000001
2020-05-03 08:00:00,-91.24333333332982,64433.25
2020-05-03 09:00:00,-3898.6133333333305,67005.0
2020-05-03 10:00:00,-5424.5899999999965,69855.75
2020-05-03 11:00:00,-827.8083333333307,71200.12499999999
2020-05-03 12:00:00,-417.49833333332936,71845.875
2020-05-03 15:00:00,-2717.7799999999966,76783.5
2020-05-03 16:00:00,-1406.0716666666642,79315.87499999999
2020-05-04 08:00:00,-1927.0183333333296,75009.37500000001
2020-05-04 09:00:00,-4821.313333333327,76297.5
2020-05-04 10:00:00,-5917.51166666666,77043.375
2020-05-04 11:00:00,-1282.7733333333272,78623.99999999999
2020-05-05 09:00:00,-733.2699999999943,75494.25
2020-05-05 10:00:00,-571.0333333333282,76986.0
2020-05-06 08:00:00,-40.521666666661645,75646.125
2020-05-06 09:00:00,-3233.556666666662,77388.75
2020-05-06 10:00:00,-4954.03333333333,80086.5
2020-05-06 11:00:00,-1769.5049999999965,82150.87500000001
2020-05-06 12:00:00,-775.0833333333276,83909.24999999999
2020-05-07 08:00:00,-340.27999999999497,75559.49999999999
2020-05-07 09:00:00,-2283.344999999995,78928.87499999999
2020-05-07 10:00:00,-2502.5766666666614,81137.25
2020-05-09 08:00:00,-2739.0166666666623,69491.25
2020-05-09 09:00:00,-4211.896666666663,72762.75
2020-05-09 10:00:00,-4404.90166666666,76087.125
2020-05-10 08:00:00,-715.8566666666628,68631.75
