"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"OR","Boardman","6106","1SG","01-01-2020","0","1","389","","1139.3","Measured",".292","Calculated",".167","Measured","652.402","Calculated","409.7","Measured",".105","Calculated","3906.6","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","1","1","389","","1138","Measured",".292","Calculated",".17","Measured","662.439","Calculated","408.7","Measured",".105","Calculated","3896.7","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","2","1","389","","1135.8","Measured",".293","Calculated",".168","Measured","652.193","Calculated","407.2","Measured",".105","Calculated","3882.1","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","3","1","390","","1142.2","Measured",".292","Calculated",".167","Measured","653.488","Calculated","410.4","Measured",".105","Calculated","3913.1","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","4","1","390","","1137.9","Measured",".292","Calculated",".17","Measured","661.793","Calculated","408.3","Measured",".105","Calculated","3892.9","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","5","1","390","","1150.4","Measured",".297","Calculated",".168","Measured","649.824","Calculated","405.7","Measured",".105","Calculated","3868","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","6","1","390","","1125.5","Measured",".291","Calculated",".167","Measured","646.574","Calculated","406.1","Measured",".105","Calculated","3871.7","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","7","1","390","","1135.2","Measured",".291","Calculated",".17","Measured","663.561","Calculated","409.4","Measured",".105","Calculated","3903.3","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","8","1","389","","1127.7","Measured",".29","Calculated",".164","Measured","637.074","Calculated","407.4","Measured",".105","Calculated","3884.6","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","9","1","360","","1037.1","Measured",".289","Calculated",".159","Measured","570.683","Calculated","376.4","Measured",".105","Calculated","3589.2","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","10","1","352","","1013.3","Measured",".288","Calculated",".158","Measured","555.101","Calculated","368.5","Measured",".105","Calculated","3513.3","820","2778"
"OR","Boardman","6106","1SG","01-01-2020","11","1","352","","1029.8","Measured",".291","Calculated",".158","Measured","559.952","Calculated","371.7","Measured",".105","Calculated","3544","820","2778"
