"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"UT","Gadsby","3648","1","08-01-2020","0","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","1","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","2","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","3","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","4","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","5","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","6","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","7","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","8","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","9","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","10","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","11",".8","0","",".032","Measured",".001","Calculated",".022","Measured","1.155","Calculated","3.12","Measured",".059","Calculated","52.48","722","2498"
"UT","Gadsby","3648","1","08-01-2020","12","1","0","",".046","Measured",".001","Calculated",".039","Measured","2.991","Calculated","4.6","Measured",".06","Calculated","76.7","722","2498"
"UT","Gadsby","3648","1","08-01-2020","13","1","0","",".053","Measured",".001","Calculated",".054","Measured","4.725","Calculated","5.2","Measured",".059","Calculated","87.5","722","2498"
"UT","Gadsby","3648","1","08-01-2020","14","1","10","",".152","Measured",".001","Calculated",".125","Measured","31.65","Calculated","15","Measured",".059","Calculated","253.2","722","2498"
"UT","Gadsby","3648","1","08-01-2020","15","1","23","",".253","Measured",".001","Calculated",".186","Measured","78.269","Calculated","25","Measured",".059","Calculated","420.8","722","2498"
"UT","Gadsby","3648","1","08-01-2020","16","1","25","",".262","Measured",".001","Calculated",".19","Measured","83.049","Calculated","26","Measured",".059","Calculated","437.1","722","2498"
"UT","Gadsby","3648","1","08-01-2020","17","1","29","",".295","Measured",".001","Calculated",".196","Measured","96.432","Calculated","29.2","Measured",".059","Calculated","492","722","2498"
"UT","Gadsby","3648","1","08-01-2020","18","1","28","",".282","Measured",".001","Calculated",".204","Measured","95.86","Calculated","27.9","Measured",".059","Calculated","469.9","722","2498"
"UT","Gadsby","3648","1","08-01-2020","19","1","23","",".241","Measured",".001","Calculated",".183","Measured","73.511","Calculated","23.9","Measured",".059","Calculated","401.7","722","2498"
"UT","Gadsby","3648","1","08-01-2020","20","1","23","",".243","Measured",".001","Calculated",".194","Measured","78.415","Calculated","24","Measured",".059","Calculated","404.2","722","2498"
"UT","Gadsby","3648","1","08-01-2020","21",".93","11","",".136","Measured",".001","Calculated",".108","Measured","24.507","Calculated","13.485","Measured",".059","Calculated","226.92","722","2498"
"UT","Gadsby","3648","1","08-01-2020","22","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-01-2020","23","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","0","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","1","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","2","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","3","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","4","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","5","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","6","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","7","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","8","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","9","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","10","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","11",".6","0","",".024","Measured",".001","Calculated",".02","Measured",".8","Calculated","2.4","Measured",".06","Calculated","40.02","722","2498"
"UT","Gadsby","3648","1","08-02-2020","12","1","0","",".058","Measured",".001","Calculated",".042","Measured","4.032","Calculated","5.7","Measured",".059","Calculated","96","722","2498"
"UT","Gadsby","3648","1","08-02-2020","13","1","1","",".063","Measured",".001","Calculated",".059","Measured","6.148","Calculated","6.2","Measured",".06","Calculated","104.2","722","2498"
"UT","Gadsby","3648","1","08-02-2020","14","1","19","",".236","Measured",".001","Calculated",".19","Measured","74.613","Calculated","23.3","Measured",".059","Calculated","392.7","722","2498"
"UT","Gadsby","3648","1","08-02-2020","15","1","27","",".286","Measured",".001","Calculated",".21","Measured","100.191","Calculated","28.4","Measured",".06","Calculated","477.1","722","2498"
"UT","Gadsby","3648","1","08-02-2020","16","1","30","",".297","Measured",".001","Calculated",".205","Measured","101.516","Calculated","29.4","Measured",".059","Calculated","495.2","722","2498"
"UT","Gadsby","3648","1","08-02-2020","17","1","27","",".273","Measured",".001","Calculated",".2","Measured","91.02","Calculated","27","Measured",".059","Calculated","455.1","722","2498"
"UT","Gadsby","3648","1","08-02-2020","18","1","26","",".265","Measured",".001","Calculated",".196","Measured","86.475","Calculated","26.2","Measured",".059","Calculated","441.2","722","2498"
"UT","Gadsby","3648","1","08-02-2020","19","1","26","",".265","Measured",".001","Calculated",".194","Measured","85.554","Calculated","26.2","Measured",".059","Calculated","441","722","2498"
"UT","Gadsby","3648","1","08-02-2020","20","1","26","",".267","Measured",".001","Calculated",".203","Measured","90.294","Calculated","26.4","Measured",".059","Calculated","444.8","722","2498"
"UT","Gadsby","3648","1","08-02-2020","21",".58","17","",".11","Measured",".001","Calculated",".185","Measured","34.003","Calculated","10.904","Measured",".059","Calculated","183.802","722","2498"
"UT","Gadsby","3648","1","08-02-2020","22","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-02-2020","23","0","","","","","","","","","","","","","","","","722","2498"
"UT","Gadsby","3648","1","08-03-2020","0","0","","","","","","","","","","","","","","","","722","2498"
