"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"WY","Dave Johnston","4158","BW41","12-01-2020","0","1","95","","633.1","Measured",".627","Calculated",".351","Measured","354.44","Calculated","105.9","Measured",".105","Calculated","1009.8","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","1","1","95","","644.1","Measured",".639","Calculated",".349","Measured","351.757","Calculated","105.7","Measured",".105","Calculated","1007.9","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","2","1","95","","648.6","Measured",".639","Calculated",".349","Measured","354.375","Calculated","106.5","Measured",".105","Calculated","1015.4","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","3","1","95","","651.9","Measured",".637","Calculated",".346","Measured","353.923","Calculated","107.3","Measured",".105","Calculated","1022.9","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","4","1","94","","654.3","Measured",".644","Calculated",".353","Measured","358.895","Calculated","106.6","Measured",".105","Calculated","1016.7","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","5","1","94","","645.4","Measured",".635","Calculated",".341","Measured","346.661","Calculated","106.6","Measured",".105","Calculated","1016.6","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","6","1","94","","652.8","Measured",".639","Calculated",".333","Measured","340.16","Calculated","107.1","Measured",".105","Calculated","1021.5","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","7","1","95","","677.4","Measured",".663","Calculated",".33","Measured","337.359","Calculated","107.2","Measured",".105","Calculated","1022.3","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","8","1","97","","693.4","Measured",".665","Calculated",".329","Measured","343.048","Calculated","109.4","Measured",".105","Calculated","1042.7","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","9","1","96","","681.2","Measured",".656","Calculated",".334","Measured","346.659","Calculated","108.9","Measured",".105","Calculated","1037.9","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","10","1","76","","533.2","Measured",".652","Calculated",".34","Measured","278.222","Calculated","85.8","Measured",".105","Calculated","818.3","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","11","1","71","","492.1","Measured",".644","Calculated",".341","Measured","260.763","Calculated","80.2","Measured",".105","Calculated","764.7","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","12","1","71","","487.3","Measured",".632","Calculated",".332","Measured","255.972","Calculated","80.9","Measured",".105","Calculated","771","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","13","1","71","","478.1","Measured",".618","Calculated",".329","Measured","254.482","Calculated","81.1","Measured",".105","Calculated","773.5","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","14","1","71","","471.5","Measured",".611","Calculated",".336","Measured","259.123","Calculated","80.9","Measured",".105","Calculated","771.2","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","15","1","71","","463","Measured",".595","Calculated",".344","Measured","267.46","Calculated","81.5","Measured",".105","Calculated","777.5","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","16","1","72","","478.8","Measured",".595","Calculated",".324","Measured","260.593","Calculated","84.4","Measured",".105","Calculated","804.3","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","17","1","90","","615.9","Measured",".616","Calculated",".331","Measured","330.967","Calculated","104.9","Measured",".105","Calculated","999.9","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","18","1","93","","610.9","Measured",".597","Calculated",".337","Measured","344.852","Calculated","107.3","Measured",".105","Calculated","1023.3","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","19","1","94","","599.8","Measured",".586","Calculated",".341","Measured","349.218","Calculated","107.4","Measured",".105","Calculated","1024.1","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","20","1","94","","598.9","Measured",".584","Calculated",".354","Measured","362.744","Calculated","107.5","Measured",".105","Calculated","1024.7","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","21","1","94","","597.1","Measured",".575","Calculated",".366","Measured","379.762","Calculated","108.8","Measured",".105","Calculated","1037.6","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","22","1","88","","533.7","Measured",".562","Calculated",".408","Measured","387.437","Calculated","99.6","Measured",".105","Calculated","949.6","764","2633"
"WY","Dave Johnston","4158","BW41","12-01-2020","23","1","64","","385","Measured",".551","Calculated",".278","Measured","194.378","Calculated","73.3","Measured",".105","Calculated","699.2","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","0","1","66","","413.7","Measured",".579","Calculated",".25","Measured","178.7","Calculated","75","Measured",".105","Calculated","714.8","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","1","1","65","","399.1","Measured",".559","Calculated",".265","Measured","189.104","Calculated","74.8","Measured",".105","Calculated","713.6","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","2","1","65","","394.7","Measured",".546","Calculated",".276","Measured","199.603","Calculated","75.8","Measured",".105","Calculated","723.2","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","3","1","65","","397.9","Measured",".541","Calculated",".285","Measured","209.475","Calculated","77.1","Measured",".105","Calculated","735","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","4","1","77","","501.2","Measured",".564","Calculated",".276","Measured","245.06","Calculated","93.1","Measured",".105","Calculated","887.9","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","5","1","89","","597.7","Measured",".6","Calculated",".346","Measured","344.478","Calculated","104.4","Measured",".105","Calculated","995.6","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","6","1","95","","665.3","Measured",".641","Calculated",".365","Measured","378.907","Calculated","108.9","Measured",".105","Calculated","1038.1","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","7","1","96","","672.8","Measured",".634","Calculated",".346","Measured","367.348","Calculated","111.3","Measured",".105","Calculated","1061.7","764","2633"
"WY","Dave Johnston","4158","BW41","12-02-2020","8","1","97","","674.6","Measured",".634","Calculated",".336","Measured","357.672","Calculated","111.6","Measured",".105","Calculated","1064.5","764","2633"
