respondent_id,respondent_name,eia_code,nerc
101,"PowerSouth Energy Cooperative (Alabama Electric Cooperative, Inc.)              ",189,SERC
102,Alabama Power Company                                                           ,195,SERC
103,Cube Hydro Carolinas Yadkin                                                     ,317,SERC
104,Allete (Minnesota Power)                                                        ,12647,MRO
105,Alliant Energy-East                                                             ,20856,MRO
106,Alliant Energy-West                                                             ,9392,MRO
107,Ameren (Illinois Power Co. Control Area)                                        ,9208,SERC
108,Ameren Corporation Control Area                                                 ,19436,SERC
109,Ameren CILCO                                                                    ,3252,SERC
110,"American Electric Power Company, Inc.                                           ",829,RFC
111,"American Municipal Power-Ohio, Inc.                                             ",40577,RFC
112,Anchorage Municipal Light & Power                                               ,599,ASCC
113,KCP&L Greater Missouri Operations Company (Former Aquila Networks MPS)          ,12698,SERC
114,Aquila Networks (West Plains Energy - Kansas)                                   ,3285,SPP
115,"Arizona Electric Power Cooperative, Inc.                                        ",796,WECC
116,Arizona Public Service Company                                                  ,803,WECC
118,"Associated Electric Cooperative, Inc.                                           ",924,SERC
119,Avista Corporation                                                              ,20169,WECC
120,Big Rivers Electric Corporation                                                 ,1692,SERC
121,Black Hills Corporation                                                         ,19545,WECC
122,"Bonneville Power Administration, USDOE                                          ",1738,WECC
123,Boston Edison Company (NSTAR)                                                   ,1998,NPCC
124,"Buckeye Power, Inc.                                                             ",7004,RFC
125,California Independent System Operator                                          ,229,WECC
126,Cambridge Electric Light Company                                                ,2886,NPCC
128,"Central Electric Power Cooperative, Inc.                                        ",40218,SERC
133,"Chugach Electric Association, Inc.                                              ",3522,ASCC
134,Duke Energy Corp.                                                               ,3260,SERC
135,City of Burbank                                                                 ,2507,WECC
136,City of Homestead                                                               ,8795,FRCC
137,"City of Independence, MO                                                        ",9231,SERC
138,City of Lafayette Utilities System                                              ,9096,SERC
139,"City of Tacoma, Dept. of Public Utilities                                       ",18429,WECC
140,City of Tallahassee                                                             ,18445,FRCC
141,"City Utilities of Springfield, MO                                               ",17833,SPP
142,Cleco Corporation                                                               ,3265,SPP
143,Colorado Springs Utilities                                                      ,3989,WECC
144,Columbia (MO) Water & Light                                                     ,4045,SERC
145,Commonwealth Electric Company (NSTAR)                                           ,4089,NPCC
146,Consolidated Edison Co. of NY Inc.                                              ,4226,NPCC
147,Consumers Energy Company                                                        ,4254,SERC
148,Corn Belt Power Cooperative                                                     ,4363,MRO
149,Dairyland Power Cooperative                                                     ,4716,MRO
150,"Dayton Power & Light Company, The                                               ",4922,RFC
151,Decatur Utilities                                                               ,4958,SERC
152,Detroit Edison Company                                                          ,5109,RFC
153,"Duke Energy Control Area Services, LLC (Arlington Valley WECC AZ)               ",973,WECC
