,Year,Fuel Type,PRMVR,Large Region,orispl_unit,retirement_year
0,2021.0,NG,GT,CA,56639_1,
1,2025.0,NG,GT,CA,55698_HEP1,
2,2025.0,NG,GT,CA,55698_HEP2,
3,2023.0,NG,CT,CA,55985_CTG1,
4,2023.0,NG,CT,CA,55985_CTG2,
5,2025.0,NG,CT,CA,55970_2,
6,2025.0,NG,CT,CA,330_7,
7,2025.0,NG,CT,CA,330_5,
8,2026.0,NG,CT,CA,55748_CTG2,
9,2026.0,NG,CT,CA,56041_M1,
10,2026.0,NG,CT,CA,56041_M2,
11,2029.0,NG,CT,CA,57978_CT1,
12,2029.0,NG,CT,CA,404_4,
13,2029.0,SUB,ST,CA,2450_2,
14,2029.0,SUB,ST,CA,389_4,
15,2020.0,NG,GT,DSW,2444_9,
16,2022.0,NG,GT,DSW,116_GT6,
17,2022.0,NG,GT,DSW,55522_CT10,
18,2023.0,NG,GT,DSW,116_GT4,
19,2023.0,NG,GT,DSW,116_GT7,
20,2024.0,NG,GT,DSW,56482_1,
21,2025.0,NG,GT,DSW,55802_CTG1,
22,2025.0,NG,GT,DSW,2444_9,
23,2025.0,NG,GT,DSW,56482_1,
24,2025.0,NG,GT,DSW,56482_2,
25,2025.0,NG,GT,DSW,55522_CT10,
26,2026.0,NG,GT,DSW,116_GT3,
27,2026.0,NG,GT,DSW,116_GT4,
28,2026.0,NG,GT,DSW,116_GT6,
29,2026.0,NG,GT,DSW,7975_1,
30,2026.0,NG,GT,DSW,7975_2,
31,2032.0,NG,GT,DSW,56482_1,
32,2032.0,NG,GT,DSW,7975_4,
33,2023.0,NG,GT,RM,6112_5,
34,2023.0,NG,GT,RM,55505_BR2,
35,2020.0,NG,CT,Other,55933_TPP1,
36,2020.0,NG,CT,Other,55112_CT01,
37,2020.0,NG,CT,Other,55177_B,
38,2020.0,NG,CT,Other,55177_A,
39,2020.0,NG,CT,Other,55933_TPP1,
40,2020.0,NG,CT,Other,55112_CT01,
41,2020.0,NG,CT,Other,55177_B,
42,2020.0,NG,CT,Other,55177_A,
43,2020.0,NG,GT,Other,6761_F,
44,2020.0,NG,ST,Other,2450_3,2029.0
45,2020.0,NG,ST,Other,377_5,2029.0
46,2020.0,NG,ST,Other,389_4,2029.0
47,2020.0,NG,ST,Other,126_4,2029.0
48,2022.0,NG,ST,Other,2450_1,
49,2024.0,NG,CT,Other,55700_CTG1,2034.0
50,2024.0,NG,CT,Other,55662_CT2,2034.0
51,2024.0,NG,CT,Other,55662_CT1,2034.0
52,2024.0,NG,CT,Other,55970_3,2034.0
53,2024.0,NG,CT,,55662_CT2
54,2024.0,NG,CT,,55662_CT1
55,2024.0,NG,CT,,330_5
56,2024.0,NG,CT,,330_7
